FIPS,County,Life Expectancy
51001,accomack,75.3
51003,albemarle,82.2
51005,alleghany,75.5
51007,amelia,74.8
51009,amherst,77.3
51011,appomattox,77.3
51013,arlington,85.3
51015,augusta,80.1
51017,bath,76
51019,bedford,79.1
51021,bland,76.9
51023,botetourt,79.7
51025,brunswick,76.2
51027,buchanan,73.5
51029,buckingham,78.1
51031,campbell,78.4
51033,caroline,77.1
51035,carroll,78
51036,charles city,76.4
51037,charlotte,74.4
51041,chesterfield,78.7
51043,clarke,78.9
51045,craig,77.2
51047,culpeper,78.4
51049,cumberland,78.6
51051,dickenson,72.6
51053,dinwiddie,76.7
51057,essex,75.9
51059,fairfax,85.2
51061,fauquier,80
51063,floyd,77.7
51065,fluvanna,80.4
51067,franklin,77.6
51069,frederick,79.5
51071,giles,73.7
51073,gloucester,77.1
51075,goochland,81
51077,grayson,76.9
51079,greene,79.9
51081,greensville,74
51083,halifax,74.8
51085,hanover,79.3
51087,henrico,78.8
51089,henry,74.4
51091,highland,79.6
51093,isle of wight,78.9
51095,james city,81.6
51097,king and queen,74
51099,king george,78.3
51101,king william,77.1
51103,lancaster,74.9
51105,lee,74
51107,loudoun,84.3
51109,louisa,77.6
51111,lunenburg,75.1
51113,madison,77.8
51115,mathews,78.4
51117,mecklenburg,74.8
51119,middlesex,76.3
51121,montgomery,80
51125,nelson,78.1
51127,new kent,78.1
51131,northampton,75
51133,northumberland,79.7
51135,nottoway,74.6
51137,orange,77.4
51139,page,76
51141,patrick,75.2
51143,pittsylvania,75.6
51145,powhatan,80
51147,prince edward,76
51149,prince george,80.8
51153,prince william,81.5
51155,pulaski,75.3
51157,rappahannock,81.3
51159,richmond,76.5
51161,roanoke,78.9
51163,rockbridge,79.4
51165,rockingham,79.9
51167,russell,75.5
51169,scott,75.3
51171,shenandoah,77.7
51173,smyth,73
51175,southampton,77.5
51177,spotsylvania,79.3
51179,stafford,80
51181,surry,79.1
51183,sussex,74.5
51185,tazewell,72.7
51187,warren,76
51191,washington,76
51193,westmoreland,77
51195,wise,72.7
51197,wythe,74.8
51199,york,81.5
51510,alexandria,83.9
51520,bristol,74.2
51530,buena vista,74.9
51540,charlottesville,80
51550,chesapeake,78.1
51570,colonial heights,73.7
51580,covington,69.6
51590,danville,71.4
51595,emporia,68.1
51610,falls church,80.6
51630,fredericksburg,77.5
51640,galax,67.3
51650,hampton,76.2
51660,harrisonburg,79.4
51670,hopewell,70.2
51678,lexington,74.9
51680,lynchburg,75.3
51683,manassas,78
51685,manassas park,91.6
51690,martinsville,67.2
51700,newport news,75.7
51710,norfolk,75.2
51720,norton,71.3
51730,petersburg,66.2
51735,poquoson,78.8
51740,portsmouth,73.4
51750,radford,77
51775,salem,75
51790,staunton,75.4
51800,suffolk,77.2
51810,virginia beach,80.2
51820,waynesboro,75.5
51830,williamsburg,82.2
51840,winchester,77
